"","Treatment","sd","mean","median","IQR","n","se","ci"
"1","CHG",6.77587789596443e-05,9.64254884461506e-06,2.38320178877984e-05,3.4204702762893e-05,16,1.69396947399111e-05,3.32018016902257e-05
"2","CUR",5.47315326338948e-05,-1.6786669493987e-05,-1.14708867586603e-05,6.12968955202066e-05,19,1.25562747250656e-05,2.46102984611285e-05
"3","n/a",7.62390388785861e-05,-8.94689865940061e-05,-0.00011157899795659,2.22984946613296e-05,9,2.54130129595287e-05,4.98095054006763e-05
"4","TMP",5.82365994217703e-05,1.7921938327152e-05,1.00213712017595e-05,8.59355480437842e-05,16,1.45591498554426e-05,2.85359337166675e-05
