"KrillID","SensorName","Date","Time","User","SensorID","delta_t","Unit","Value","Unit.1","Mode","Phase","Unit.2","Amplitude","Unit.3","Temp","Unit.4","patm","Unit.5","Salinity","Unit.6","Error","Cal0","Unit.7","T0","Unit.8","O2.2nd","Unit.9","Cal2nd","Unit.10","T2nd","Unit.11","CalPressure","Unit.12","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal.Mode","SignalLEDCurrent","ReferenceLEDCurrent","ReferenceAmplitude","DeviceSerial","FwVersion","SensorType","BatchID","Calibration.Date","Sensor.lot","PreSens.calibrated.Sensor","Battery.Voltage","Unit.13","Sequence","FileName","MOATS","Treatment","LoadingLocation","GlassVialNumber","Species","TelsonLength..mm.","Size","dateTime","TrialID.x","percentDOassumpt","assumedSatDOmg","percentDO","obseveredSatDOmg","actualDOmg","CorTemp","SalinityConstant","oxygen","sapply(cSlopes, I)","TrialID.y"
"Trial01_KrilLR11","KrilLR11","28-Oct-19",2019-10-28 15:04:11,"default              ",159906405,39.17,"min",8.465,"mg/l","humid",29.367,"deg",11008,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38674,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.138,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 15:04:11,"Trial01",0.930255083965102,9.09965464947414,0.930255083965102,9.09965464947414,8.465,11,30.3,237.5279,-0.374460002176945,"Trial01_KrilLR11"
"Trial01_KrilLR11","KrilLR11","28-Oct-19",2019-10-28 15:04:12,"default              ",159906405,39.18,"min",8.441,"mg/l","humid",29.399,"deg",13277,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38645,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.131,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 15:04:12,"Trial01",0.927617621234427,9.09965464947414,0.927617621234427,9.09965464947414,8.441,11,30.3,236.85446,-0.374460002176945,"Trial01_KrilLR11"
"Trial01_KrilLR11","KrilLR11","28-Oct-19",2019-10-28 15:04:13,"default              ",159906405,39.2,"min",8.551,"mg/l","humid",29.256,"deg",9411,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38641,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.128,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 15:04:13,"Trial01",0.939705992083353,9.09965464947414,0.939705992083353,9.09965464947414,8.551,11,30.3,239.94106,-0.374460002176945,"Trial01_KrilLR11"
"Trial01_KrilLR11","KrilLR11","28-Oct-19",2019-10-28 15:04:14,"default              ",159906405,39.22,"min",8.491,"mg/l","humid",29.334,"deg",10424,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38640,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.13,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 15:04:14,"Trial01",0.933112335256666,9.09965464947414,0.933112335256666,9.09965464947414,8.491,11,30.3,238.25746,-0.374460002176945,"Trial01_KrilLR11"
"Trial01_KrilLR11","KrilLR11","28-Oct-19",2019-10-28 15:04:15,"default              ",159906405,39.23,"min",8.598,"mg/l","humid",29.196,"deg",7361,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38636,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.129,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 15:04:15,"Trial01",0.944871023264258,9.09965464947414,0.944871023264258,9.09965464947414,8.598,11,30.3,241.25988,-0.374460002176945,"Trial01_KrilLR11"
"Trial01_KrilLR11","KrilLR11","28-Oct-19",2019-10-28 16:19:09,"default              ",159906405,114.13,"min",7.705,"mg/l","humid",30.417,"deg",13780,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38242,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.104,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 16:19:09,"Trial01",0.846735430827066,9.09965464947414,0.846735430827066,9.09965464947414,7.705,11,30.3,216.2023,-0.374460002176945,"Trial01_KrilLR11"
"Trial01_KrilLR11","KrilLR11","28-Oct-19",2019-10-28 16:19:10,"default              ",159906405,114.15,"min",7.672,"mg/l","humid",30.465,"deg",14263,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38231,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.102,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 16:19:10,"Trial01",0.843108919572388,9.09965464947414,0.843108919572388,9.09965464947414,7.672,11,30.3,215.27632,-0.374460002176945,"Trial01_KrilLR11"
"Trial01_KrilLR11","KrilLR11","28-Oct-19",2019-10-28 16:19:11,"default              ",159906405,114.17,"min",7.654,"mg/l","humid",30.492,"deg",16824,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38226,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.103,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 16:19:11,"Trial01",0.841130822524382,9.09965464947414,0.841130822524382,9.09965464947414,7.654,11,30.3,214.77124,-0.374460002176945,"Trial01_KrilLR11"
"Trial01_KrilLR11","KrilLR11","28-Oct-19",2019-10-28 15:19:08,"default              ",159906405,54.12,"min",8.899,"mg/l","humid",28.818,"deg",3676,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38600,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.136,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 15:19:08,"Trial01",0.977949201678138,9.09965464947414,0.977949201678138,9.09965464947414,8.899,11,30.3,249.70594,-0.374460002176945,"Trial01_KrilLR11"
"Trial01_KrilLR11","KrilLR11","28-Oct-19",2019-10-28 15:19:09,"default              ",159906405,54.13,"min",8.566,"mg/l","humid",29.237,"deg",5828,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38579,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.129,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 15:19:09,"Trial01",0.941354406290025,9.09965464947414,0.941354406290025,9.09965464947414,8.566,11,30.3,240.36196,-0.374460002176945,"Trial01_KrilLR11"
