"","RESPdf","Trial1_duration","Trial2_duration","Trial3_duration","Trial4_duration"
"1","allpoints_dtotal",132.466666666667,141.4,132.233333333333,131.65
"2","80%_DO_R.censored",130.316666666667,51.3333333333333,57.3,131.483333333333
"3","70%_DO_R.censored",132.466666666667,141.4,130.75,131.65
"4","1hr_R.censored",57.7,51.3666666666667,57.3833333333333,57.3166666666667
